timestamp,pitch_hz,confidence,voiced
0.0080,1945.90,0.2672,false
0.0240,1592.28,0.3372,false
0.0400,1587.30,0.3763,false
0.0560,1584.23,0.3843,false
0.0720,1586.16,0.3600,false
0.0880,1588.84,0.3379,false
0.1040,1877.93,0.2765,false
0.1200,1873.67,0.2654,false
0.1360,1592.90,0.3269,false
0.1520,894.88,0.2603,false
0.1680,894.48,0.2605,false
0.1840,894.48,0.2605,false
0.2000,894.48,0.2605,false
0.2160,894.48,0.2605,false
0.2320,894.48,0.2605,false
0.2480,894.48,0.2605,false
0.2640,894.48,0.2605,false
0.2800,894.48,0.2605,false
0.2960,894.48,0.2605,false
0.3120,894.48,0.2605,false
0.3280,894.48,0.2605,false
0.3440,894.48,0.2605,false
0.3600,894.48,0.2605,false
0.3760,894.48,0.2605,false
0.3920,894.48,0.2605,false
0.4080,894.48,0.2605,false
0.4240,894.48,0.2605,false
0.4400,894.48,0.2605,false
0.4560,894.48,0.2605,false
0.4720,894.48,0.2605,false
0.4880,894.48,0.2605,false
0.5040,894.48,0.2605,false
0.5200,894.48,0.2605,false
0.5360,894.48,0.2605,false
0.5520,894.48,0.2605,false
0.5680,894.48,0.2605,false
0.5840,894.48,0.2605,false
0.6000,894.48,0.2605,false
0.6160,894.48,0.2605,false
0.6320,894.48,0.2605,false
0.6480,894.48,0.2605,false
0.6640,894.48,0.2605,false
0.6800,894.48,0.2605,false
0.6960,894.48,0.2605,false
0.7120,894.48,0.2605,false
0.7280,894.48,0.2605,false
0.7440,894.48,0.2605,false
0.7600,894.48,0.2605,false
0.7760,894.48,0.2605,false
0.7920,894.48,0.2605,false
0.8080,894.48,0.2605,false
0.8240,894.48,0.2605,false
0.8400,894.48,0.2605,false
0.8560,894.48,0.2605,false
0.8720,894.48,0.2605,false
0.8880,894.48,0.2605,false
0.9040,894.48,0.2605,false
0.9200,894.48,0.2605,false
0.9360,894.48,0.2605,false
0.9520,894.48,0.2605,false
0.9680,894.48,0.2605,false
0.9840,894.48,0.2605,false
1.0000,894.48,0.2605,false
1.0160,894.48,0.2605,false
1.0320,894.48,0.2605,false
1.0480,894.48,0.2605,false
1.0640,894.48,0.2605,false
1.0800,894.48,0.2605,false
1.0960,894.48,0.2605,false
1.1120,894.48,0.2605,false
1.1280,894.48,0.2605,false
1.1440,894.48,0.2605,false
1.1600,894.48,0.2605,false
1.1760,894.48,0.2605,false
1.1920,894.48,0.2605,false
1.2080,894.48,0.2605,false
1.2240,894.48,0.2605,false
1.2400,894.49,0.2603,false
1.2560,1596.04,0.3300,false
1.2720,1596.10,0.3297,false
1.2880,1596.08,0.3296,false
1.3040,1595.87,0.3297,false
1.3200,1594.59,0.3332,false
1.3360,1593.87,0.3346,false
1.3520,1597.76,0.3221,false
1.3680,1882.79,0.2817,false
1.3840,1882.17,0.3023,false
1.4000,1891.02,0.2968,false
1.4160,1892.43,0.2648,false
1.4320,1897.26,0.2276,false
1.4480,1947.90,0.1920,false
1.4640,1955.98,0.2022,false
1.4800,101.94,0.1789,false
1.4960,102.24,0.1822,false
1.5120,102.45,0.1282,false
1.5280,1795.33,0.3469,false
1.5440,1949.68,0.2027,false
1.5600,1965.59,0.1994,false
1.5760,1259.47,0.2056,false
1.5920,1251.61,0.1927,false
1.6080,1260.39,0.2682,false
1.6240,1277.86,0.3506,false
1.6400,1291.05,0.4009,false
1.6560,1304.71,0.2298,false
1.6720,1289.49,0.1696,false
1.6880,1261.92,0.2254,false
1.7040,136.68,0.4104,false
1.7200,135.97,0.3844,false
1.7360,1256.11,0.3138,false
1.7520,1246.19,0.3372,false
1.7680,1243.41,0.3693,false
1.7840,1240.09,0.2484,false
1.8000,621.73,0.1539,false
1.8160,103.07,0.1959,false
1.8320,1773.36,0.2700,false
1.8480,1803.66,0.2834,false
1.8640,1968.15,0.1279,false
1.8800,1049.45,0.2359,false
1.8960,1056.47,0.2464,false
1.9120,2022.39,0.2339,false
1.9280,2026.23,0.3386,false
1.9440,2043.46,0.4033,false
1.9600,2049.14,0.4627,false
1.9760,2055.17,0.4738,false
1.9920,2045.02,0.4349,false
2.0080,2022.87,0.4014,false
2.0240,2029.16,0.4354,false
2.0400,2052.06,0.4607,false
2.0560,2044.49,0.3965,false
2.0720,2000.63,0.3937,false
2.0880,1986.62,0.4249,false
2.1040,1980.05,0.4645,false
2.1200,1971.51,0.4875,false
2.1360,2005.78,0.4344,false
2.1520,2015.45,0.4361,false
2.1680,1998.81,0.4664,false
2.1840,1961.28,0.3015,false
2.2000,1115.02,0.3009,false
2.2160,1141.75,0.3121,false
2.2320,1211.73,0.3978,false
2.2480,1244.81,0.4878,false
2.2640,1245.19,0.5601,false
2.2800,1248.24,0.6191,false
2.2960,1236.22,0.5929,false
2.3120,1239.50,0.5998,false
2.3280,1234.44,0.5137,false
2.3440,1207.90,0.4042,false
2.3600,292.69,0.2301,false
2.3760,292.86,0.2374,false
2.3920,435.68,0.4384,false
2.4080,435.98,0.4468,false
2.4240,436.53,0.4373,false
